horizon_days,horizon_name,model,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_f1,mean_roc_auc,std_roc_auc
1,next_day,logistic_regression,0.5287037037037038,0.023908798766065494,0.5369658739781902,0.02307671691582777,0.5145214744752822,0.5384644898661142,0.02992246477679139
1,next_day,random_forest,0.5189814814814815,0.037815884919744754,0.5210058029522309,0.0395717723347858,0.522813649156057,0.5240798642177454,0.04607990908470301
1,next_day,xgboost,0.5115740740740741,0.019261707465476608,0.5116537203773542,0.018310944539188072,0.5431863393042581,0.5285085967128017,0.037420331301405464
5,next_5_days,logistic_regression,0.5046296296296297,0.046983328187475325,0.5050287998780959,0.029954608074218184,0.5170596161622552,0.49606395228119093,0.033016037847614185
5,next_5_days,random_forest,0.5148148148148147,0.037120854232224235,0.5181404851591399,0.029257052207859374,0.5124974749514295,0.5184144576030281,0.023612809735139205
5,next_5_days,xgboost,0.5064814814814814,0.01680115491817046,0.5099990585390666,0.013868726839536008,0.49727200401616595,0.49349358944562033,0.018650162527283767
7,next_week,logistic_regression,0.524074074074074,0.042703157620741554,0.524127958011054,0.017142498777513282,0.46413997761211473,0.5118686689406923,0.03040444058112235
7,next_week,random_forest,0.5013888888888889,0.05250293936509944,0.5103124402953024,0.04572881942434844,0.43398721936878965,0.5143534888387457,0.07397504067274441
7,next_week,xgboost,0.5171296296296296,0.060863344533626525,0.5237315196200902,0.038841045529859244,0.4237094667626562,0.4992548109719059,0.0772275393465855
