threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,log_loss,tn,fp,fn,tp,horizon_days,horizon_name,model,fold,train_rows,test_rows,test_start,test_end
0.5,0.5208333333333334,0.5388907362869362,0.686046511627907,0.15649867374005305,0.2548596112311015,0.5691627162422378,0.8847115658806061,316,27,318,59,1,next_day,logistic_regression,1,723,720,2020-07-11,2022-06-30
0.5,0.5486111111111112,0.5534525291738522,0.5902777777777778,0.4509283819628647,0.5112781954887218,0.562550749742868,0.6922377459352,225,118,207,170,1,next_day,random_forest,1,723,720,2020-07-11,2022-06-30
0.5,0.5277777777777778,0.5263279999381336,0.5483028720626631,0.5570291777188329,0.5526315789473685,0.5579030399579309,0.6897861846632073,170,173,167,210,1,next_day,xgboost,1,723,720,2020-07-11,2022-06-30
0.5,0.5555555555555556,0.5590198726606213,0.5324675324675324,0.8084507042253521,0.6420581655480985,0.5368473856839668,0.7605422493673165,113,252,68,287,1,next_day,logistic_regression,2,1443,720,2022-07-01,2024-06-19
0.5,0.5319444444444444,0.5326451861856067,0.5227272727272727,0.5830985915492958,0.5512649800266312,0.5366775998456492,0.6944567483257654,176,189,148,207,1,next_day,random_forest,2,1443,720,2022-07-01,2024-06-19
0.5,0.5166666666666667,0.5174995176538684,0.5086848635235732,0.5774647887323944,0.5408970976253298,0.5412386648659078,0.6944999873384258,167,198,150,205,1,next_day,xgboost,2,1443,720,2022-07-01,2024-06-19
0.5,0.5097222222222222,0.512987012987013,0.5031152647975078,0.9047619047619048,0.6466466466466466,0.5093833676721378,0.8576575552295433,44,319,34,323,1,next_day,logistic_regression,3,2163,720,2024-06-20,2026-06-09
0.5,0.47638888888888886,0.4769196934972336,0.4753694581280788,0.5406162464985994,0.5058977719528178,0.473011243064719,0.7083804332995094,150,213,164,193,1,next_day,random_forest,3,2163,720,2024-06-20,2026-06-09
0.5,0.49027777777777776,0.4911336435400606,0.48847926267281105,0.5938375350140056,0.5360303413400759,0.4863840853145666,0.7038783823681646,141,222,145,212,1,next_day,xgboost,3,2163,720,2024-06-20,2026-06-09
0.5,0.4513888888888889,0.4751898734177215,0.5,0.23037974683544304,0.31542461005199307,0.4630574488802337,1.0671715057079072,234,91,304,91,5,next_5_days,logistic_regression,1,723,720,2020-07-11,2022-06-30
0.5,0.4722222222222222,0.48436222005842255,0.5278810408921933,0.3594936708860759,0.42771084337349397,0.49268938656280425,0.7144237184113572,198,127,253,142,5,next_5_days,random_forest,1,723,720,2020-07-11,2022-06-30
0.5,0.4875,0.51682570593963,0.5902777777777778,0.21518987341772153,0.31539888682745826,0.47777604673807206,0.7499800283417323,266,59,310,85,5,next_5_days,xgboost,1,723,720,2020-07-11,2022-06-30
0.5,0.5402777777777777,0.535097764606659,0.5555555555555556,0.633245382585752,0.591861898890259,0.5290895163224723,0.7912848393631525,149,192,139,240,5,next_5_days,logistic_regression,2,1443,720,2022-07-01,2024-06-19
0.5,0.5319444444444444,0.5345329196295237,0.5644171779141104,0.48548812664907653,0.5219858156028369,0.539101973862379,0.6984231785099793,199,142,195,184,5,next_5_days,random_forest,2,1443,720,2022-07-01,2024-06-19
0.5,0.5194444444444445,0.5191312219995512,0.5452054794520548,0.525065963060686,0.5349462365591398,0.5141017804223184,0.7010537404074898,175,166,180,199,5,next_5_days,xgboost,2,1443,720,2022-07-01,2024-06-19
0.5,0.5222222222222223,0.5047987616099071,0.5307167235494881,0.8184210526315789,0.6438923395445134,0.49604489164086685,0.7727954518080232,65,275,69,311,5,next_5_days,logistic_regression,3,2163,720,2024-06-20,2026-06-09
0.5,0.5402777777777777,0.5355263157894737,0.557919621749409,0.6210526315789474,0.5877957658779577,0.5234520123839009,0.6947884111193832,153,187,144,236,5,next_5_days,random_forest,3,2163,720,2024-06-20,2026-06-09
0.5,0.5125,0.4940402476780186,0.5242070116861436,0.8263157894736842,0.6414708886618999,0.4886029411764706,0.703761060775332,55,285,66,314,5,next_5_days,xgboost,3,2163,720,2024-06-20,2026-06-09
0.5,0.475,0.5083460022959263,0.6428571428571429,0.046632124352331605,0.08695652173913043,0.48101206912599676,1.3160169158162955,324,10,368,18,7,next_week,logistic_regression,1,723,720,2020-07-11,2022-06-30
0.5,0.44166666666666665,0.45971269895442274,0.4550561797752809,0.20984455958549222,0.2872340425531915,0.4289891719152369,0.765708923365543,237,97,305,81,7,next_week,random_forest,1,723,720,2020-07-11,2022-06-30
0.5,0.44722222222222224,0.4794142285377432,0.34210526315789475,0.03367875647668394,0.06132075471698113,0.4100943191337532,0.7901804869685312,309,25,373,13,7,next_week,xgboost,1,723,720,2020-07-11,2022-06-30
0.5,0.5527777777777778,0.5423660451118488,0.5686695278969958,0.6865284974093264,0.6220657276995305,0.5417998200490212,0.7921360806690698,133,201,121,265,7,next_week,logistic_regression,2,1443,720,2022-07-01,2024-06-19
0.5,0.5222222222222223,0.5225404114051689,0.5586592178770949,0.5181347150259067,0.5376344086021505,0.5543886320623003,0.6946113939547511,176,158,186,200,7,next_week,random_forest,2,1443,720,2022-07-01,2024-06-19
0.5,0.5458333333333333,0.5399227451832087,0.5700712589073634,0.6217616580310881,0.5947955390334573,0.5452126834414073,0.6922170308523388,153,181,146,240,7,next_week,xgboost,2,1443,720,2022-07-01,2024-06-19
0.5,0.5444444444444444,0.521671826625387,0.5396341463414634,0.9315789473684211,0.6833976833976834,0.5127941176470588,0.8432494476097698,38,302,26,354,7,next_week,logistic_regression,3,2163,720,2024-06-20,2026-06-09
0.5,0.5402777777777777,0.5486842105263158,0.5968379446640316,0.3973684210526316,0.47709320695102686,0.5596826625386997,0.6931704803734122,238,102,229,151,7,next_week,random_forest,3,2163,720,2024-06-20,2026-06-09
0.5,0.5583333333333333,0.5518575851393188,0.5695067264573991,0.6684210526315789,0.6150121065375302,0.5424574303405573,0.6938728984793081,148,192,126,254,7,next_week,xgboost,3,2163,720,2024-06-20,2026-06-09
