row_index,date,close,future_return,actual_direction,prob_majority_baseline,prob_logistic_regression,prob_random_forest,prob_xgboost,prob_mlp,prob_lstm,signal,strategy_return,buy_hold_return,strategy_equity,buy_hold_equity
415,2019-09-07,10455.88,-0.003908805380321789,0,0.5204610951008646,0.538271022256508,0.4338530860030358,0.46678042,0.4714074,0.42312586,0,-0.0,-0.003908805380321789,1.0753900194865258,0.9809065410945289
459,2019-10-21,8197.27,0.12598462658909604,1,0.5204610951008646,0.5731316271994197,0.4108353067433278,0.41730988,0.48222485,0.4098734,0,0.0,0.12598462658909604,1.0753900194865258,1.1044856853931249
464,2019-10-26,9230.0,-0.009658721560129924,0,0.5204610951008646,0.6633696113832546,0.5493728880183931,0.4842685,0.5281908,0.5240299,1,-0.011658721560129924,-0.009658721560129924,1.0628523466807898,1.0938177656907635
480,2019-11-11,8733.27,-0.02773875077720034,0,0.5204610951008646,0.5202716207349889,0.523790349589394,0.5171751,0.50789964,0.47430894,1,-0.02973875077720034,-0.02773875077720034,1.0312444456298873,1.0634766272925933
485,2019-11-16,8491.02,-0.10166976405661521,0,0.5204610951008646,0.5913277880029384,0.4905292618448905,0.45926464,0.48313683,0.47915697,0,-0.0,-0.10166976405661521,1.0312444456298873,0.9553532095160304
529,2019-12-30,7246.0,0.014919955837703558,1,0.5204610951008646,0.5826250253931633,0.4823251085110552,0.5090199,0.49524978,0.43065327,1,0.012919955837703558,0.014919955837703558,1.0445680783253024,0.9696070372114179
534,2020-01-04,7354.11,0.06304637814772973,1,0.5204610951008646,0.5370499130038682,0.42918186591554575,0.45415294,0.47608304,0.45049447,0,0.0,0.06304637814772973,1.0445680783253024,1.0307372491341489
550,2020-01-20,8642.35,-0.034917586073232476,0,0.5204610951008646,0.5376776259850752,0.502665462357537,0.5369528,0.506982,0.5879128,1,-0.03691758607323248,-0.034917586073232476,1.006005146384377,0.9947463925186204
555,2020-01-25,8340.58,0.14059334003150847,1,0.5204610951008646,0.5680407008439352,0.4868402969713282,0.48458925,0.49626115,0.5288975,1,0.13859334003150847,0.14059334003150847,1.1454307597106745,1.1346011103271072
599,2020-03-09,7929.87,-0.3477749319976241,0,0.5204610951008646,0.6254366214552797,0.6029440758645797,0.6513788,0.52661854,0.5492905,1,-0.3497749319976241,-0.3477749319976241,0.7447877936248865,0.7400152863386686
