row_index,date,close,future_return,actual_direction,prob_majority_baseline,prob_logistic_regression,prob_random_forest,prob_xgboost,prob_mlp,prob_lstm,signal,strategy_return,buy_hold_return,strategy_equity,buy_hold_equity
39,2018-08-27,6908.64,0.05129518979133385,1,0.5331412103746398,0.3011006708886081,0.44785013387311595,0.39979014,0.5024916,0.43427497,0,0.0,0.05129518979133385,1.0,1.0512951897913339
60,2018-09-17,6248.69,0.05324315976628724,1,0.5331412103746398,0.48404274338616077,0.565174549217254,0.5614506,0.525295,0.51126266,0,0.0,0.05324315976628724,1.0,1.107269467542923
109,2018-11-05,6468.99,-0.0024609714963232943,0,0.5331412103746398,0.5513842293408507,0.6267878175159384,0.6990469,0.4997997,0.5616486,0,-0.0,-0.0024609714963232943,1.0,1.104544508944551
130,2018-11-26,3862.2,0.005647040546838733,1,0.5331412103746398,0.46059499252896613,0.39639010427204074,0.48002303,0.5295406,0.4805976,0,0.0,0.005647040546838733,1.0,1.110781916572349
179,2019-01-14,3626.09,-0.027354533395475555,0,0.5331412103746398,0.5424407318898473,0.48562570250080045,0.5325354,0.47878695,0.4643084,0,-0.0,-0.027354533395475555,1.0,1.0803969955403803
200,2019-02-04,3463.22,0.048460681100247927,1,0.5331412103746398,0.554033710372639,0.6418425013351848,0.737734,0.50759834,0.54413885,0,0.0,0.048460681100247927,1.0,1.1327537698029286
249,2019-03-25,3936.12,0.05295570257004378,1,0.5331412103746398,0.5552108343430379,0.6748148566745678,0.6631627,0.5249495,0.57969,1,0.05095570257004378,0.05295570257004378,1.0509557025700438,1.1927395415217084
270,2019-04-15,5024.95,0.06610812047881076,1,0.5331412103746398,0.40211360502633553,0.6426009899045696,0.68821144,0.5491161,0.58561814,1,0.06410812047881076,0.06610812047881076,1.1183304973682973,1.271589310832467
319,2019-06-03,8115.82,-0.016396371531157583,0,0.5331412103746398,0.524306988643501,0.5304461799038307,0.5740405,0.5447138,0.42171565,0,-0.0,-0.016396371531157583,1.1183304973682973,1.2507398600570092
340,2019-06-24,11056.59,-0.039040970136362096,0,0.5331412103746398,0.5157210523557219,0.49612778640283683,0.51403546,0.5410237,0.4616359,0,-0.0,-0.039040970136362096,1.1183304973682973,1.2019097625321657
389,2019-08-12,11396.08,-0.042167131153870385,0,0.5331412103746398,0.447613242910478,0.4139855662605848,0.45348808,0.5314571,0.4322374,0,-0.0,-0.042167131153870385,1.1183304973682973,1.1512286759403547
410,2019-09-02,10340.0,-0.0035667311411990976,0,0.5331412103746398,0.47044461887857153,0.3458931320150887,0.3838283,0.47556743,0.38538867,0,-0.0,-0.0035667311411990976,1.1183304973682973,1.1471225527712368
459,2019-10-21,8197.27,0.12295190959917135,1,0.5331412103746398,0.49000752993084323,0.3968288541895692,0.37682518,0.50129825,0.44159594,0,0.0,0.12295190959917135,1.1183304973682973,1.2881634611787365
480,2019-11-11,8733.27,-0.06253098782014077,0,0.5331412103746398,0.5057720770716205,0.465980677343197,0.47720134,0.5228398,0.49760056,0,-0.0,-0.06253098782014077,1.1183304973682973,1.2076133274774186
529,2019-12-30,7246.0,0.07065967430306386,1,0.5331412103746398,0.606823820631701,0.49904017704641124,0.5331439,0.5055787,0.5153381,0,0.0,0.07065967430306386,1.1183304973682973,1.2929428918810122
550,2020-01-20,8642.35,0.030688412295266865,1,0.5331412103746398,0.5511622857411632,0.5078637985415237,0.51763934,0.5224749,0.6536566,1,0.028688412295266863,0.030688412295266865,1.1504136237591698,1.3326212564212914
599,2020-03-09,7929.87,-0.365819363999662,0,0.5331412103746398,0.6449210143344005,0.562914579835849,0.59283483,0.5266228,0.5458904,0,-0.0,-0.365819363999662,1.1504136237591698,0.8451225959448241
620,2020-03-30,6394.38,0.14630347273699718,1,0.5331412103746398,0.3301361337617167,0.4615082366668113,0.4371182,0.42730722,0.47832993,0,0.0,0.14630347273699718,1.1504136237591698,0.9687669666200579
669,2020-05-18,9733.93,-0.08563653118524583,0,0.5331412103746398,0.40875606302105943,0.4385368131185878,0.50920194,0.52110755,0.43785068,0,-0.0,-0.08563653118524583,1.1504136237591698,0.8858051240718633
690,2020-06-08,9782.01,-0.036392316098634137,0,0.5331412103746398,0.45712647112944,0.39255903193072583,0.36935923,0.51230574,0.36577055,0,-0.0,-0.036392316098634137,1.1504136237591698,0.8535686239948502
739,2020-07-27,11029.96,0.017212211105026798,1,0.5331412103746398,0.5640214804066603,0.7058893457972296,0.6364147,0.50726074,0.58804154,1,0.015212211105026798,0.017212211105026798,1.1679139586618932,0.8682604273436768
760,2020-08-17,12281.13,-0.04339421535314736,0,0.5331412103746398,0.5642683635447732,0.4802427812763155,0.42885265,0.51523715,0.45645526,0,-0.0,-0.04339421535314736,1.1679139586618932,0.8305829473769095
809,2020-10-05,10792.21,0.06820104501302326,1,0.5331412103746398,0.5201009743629673,0.5754071409221388,0.61805123,0.49237218,0.53377604,0,0.0,0.06820104501302326,1.1679139586618932,0.8872295723580117
830,2020-10-26,13052.19,0.038091691892318424,1,0.5331412103746398,0.6349087078239987,0.5807742686103986,0.6380937,0.5179674,0.6281384,1,0.03609169189231842,0.038091691892318424,1.2100659494146562,0.9210256478660265
879,2020-12-14,19273.14,0.1788276326535272,1,0.5331412103746398,0.407685656847989,0.5267152679640309,0.57417655,0.49502462,0.4722407,0,0.0,0.1788276326535272,1.2100659494146562,1.0857304840870892
